h,k,l,two_theta_deg,i_rel,fwhm_deg,lp,amplitude_counts
2,2,0,30.080444522738468,30.0,0.7391146632033776,26.89113004474495,419.07404879030986
3,1,1,35.43058127127597,100.0,0.7577817445648714,18.86538251647002,980.0
2,2,2,37.06200064335208,8.0,0.7638836857571049,17.09053858108129,71.02417475961612
4,0,0,43.05949940175718,20.0,0.7880831308937898,12.24325132058735,127.20003194953155
4,2,2,53.41835778515414,10.0,0.837181491547478,7.5095330616012905,39.009770376743475
5,1,1,56.94365186034575,30.0,0.8562892761189763,6.494780666063064,101.21530873575038
4,4,0,62.529609571548946,40.0,0.8894258055628061,5.26752934309691,109.45293585705438
6,2,0,70.93669154860275,4.0,0.9468744016970846,4.035788794771799,8.385884601965468
5,3,3,73.97190664431938,10.0,0.9701858708750355,3.7225049999587796,19.337296218482436
6,2,2,74.97301368822532,4.0,0.9782072574791812,3.63146986832262,7.5457584130068875
4,4,4,78.93425598263718,3.0,1.0116865311294,3.324174978915407,5.180427393655614
